std,manufacturer,series,moc,enclosure,spool_valve,type,technology,communication,action,actions,certificate,model_no,haz_class
Std,Fisher,DVC6000S,Stainless Steel,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6000S/AC,Exia
Std,Fisher,DVC6000S,Stainless Steel,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6000S/HC,Exia
Std,Fisher,DVC6000S,Stainless Steel,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6000S/AD,Exia
Std,Fisher,DVC6000S,Stainless Steel,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6000S/PD,Exia
Std,Fisher,DVC6200,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200(N/A)/AD,Exia
Std,Fisher,DVC6200,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200(N/A)/HC,Exia
Std,Fisher,DVC6200,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200(N/A)/AC,Exia
Std,Fisher,DVC6200,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200(N/A)/PD,Exia
Std,Fisher,DVC6200f,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200f(NA)/AD,Exia
Std,Fisher,DVC6200f,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200f(NA)/HC,Exia
Std,Fisher,DVC6200f,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200f(NA)/AC,Exia
Std,Fisher,DVC6200f,Aluminum,Flame Proof,3mm,Electro-Pneumatic,digital,HART,Double,"Single, Reverse, Double","ATEX, IECEx",DVC6200f(NA)/PD,Exia
